name,popularity
Bhimaneni Srinivasa Rao,0.6
Chandra Sekhar Yeleti,0.6
B. Gopal,0.6
Sekhar Kammula,0.6
S.S. Rajamouli,1.453
K Raghavendra Rao,0.6
Ashwin Gangaraju,0.6
Shiva Kumar BVR,0.6
Puri Jagannath,1.38
Veeru Potla,0.98
Sripriya,1.22
Jeethu Joseph,0.6
Ajay Bhuyan,0.6
A. Karunakaran,0.6
Vijaya Ram Prasad,0.6
Vijay Kumar Konda,0.6
Harish Shankar,0.6
Radha Mohan,0.98
Vikram Kumar,0.6
Trivikram Srinivas,1.4
Y. V. S. Chowdary,0.6
M. Saravanan,0.6
Santosh Srinivas,0.6
Sriwass,0.6
Bhaskar,0.6
Trinadha Rao Nakkina,0.6
Pasupuleti Krishna Vamsi,1.153
Jayant Paranji,0.6
Teja,0.694
Gunasekhar,0.6
Sreenu Vaitla,1.164
Saikishore,0.6
Srikanth Addala,0.6
Vinod Lingala,0.6
Hari,0.828
Vamsi Paidipally,0.98
Ahishor Solomon,0.6
Surender Reddy,0.694
Meher Ramesh,0.6
Sukumar,0.6
Hussain Sha Kiran,0.6
Buchi Babu Sana,0.6
Suresh Krishna,0.694
Sobhan,0.6
Koratala Siva,0.98
Raghava Lawrence,1.173
J. Pulla Rao,0.6
Vignesh Shivan,0.699
Sujeeth,0.6
Ayush Saini,0.6
Dario Cioni,0.6
Aarun Kumar Thevar,0.6
Lokesh Srinivasan,0.6
Nikhil Nadella,0.6
Anil Kumar Upadyaula,0.6
Ashwin Kumar Madasu,0.6
Kumareshan Ramachandran,0.6
Pranay Rao,0.6
Richard Montoya,0.6
Gopichand Malineni,0.6
Anil Ravipudi,0.6
Sunil Kumar Reddy,0.6
BVS Ravi,0.6
Maruthi Dasari,0.6
Subbu,0.6
Bobby Kolli,1.052
Ram Gopal Chowdary,0.6
Boyapati Srinu,0.6
Sreenivas Mamilla,0.6
Ramesh Varma,0.6
Srinivasa Ravindra,0.6
Sandeep Reddy Vanga,0.6
Parasuram,0.6
